web-scraper-order,web-scraper-start-url,pagelink,pagelink-href,pagelink2,pagelink2-href
"1716323825-195","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | M. Saldaña, ""The Rio Grande Settlers: a family history, 1577–1848""","https://cesta.stanford.edu/events/cesta-seminar-m-saldana-rio-grande-settlers-family-history-1577-1848"
"1716323825-196","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | B. Albritton, ""Manuscript Fragments in the Stanford Collections: Digital Afterlives""","https://cesta.stanford.edu/events/cesta-seminar-b-albritton-manuscript-fragments-stanford-collections-digital-afterlives"
"1716323825-197","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | F. Favino ""Mapping Galileo's legacy: the 'Borelli Galaxy' project""","https://cesta.stanford.edu/events/cesta-seminar-f-favino-mapping-galileos-legacy-borelli-galaxy-project"
"1716323825-198","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | L. Stokes ""Murder, Metadata, and Moral persuasion: early modern discourses on...""","https://cesta.stanford.edu/events/cesta-seminar-l-stokes-murder-metadata-and-moral-persuasion-early-modern-discourses"
"1716323825-199","https://cesta.stanford.edu/events/past-events","","","Fragments and Fragmentology in the Twenty-First Century: A Webinar with Lisa Fagin Davis","https://cesta.stanford.edu/events/fragments-and-fragmentology-twenty-first-century-webinar-lisa-fagin-davis"
"1716323825-200","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | M. Algee-Hewitt ""The Afterlife of Aesthetics""","https://cesta.stanford.edu/events/cesta-seminar-m-algee-hewitt-afterlife-aesthetics"
"1716323825-201","https://cesta.stanford.edu/events/past-events","","","Text Technologies Online Workshop with Bill Endres","https://cesta.stanford.edu/events/text-technologies-online-workshop-bill-endres"
"1716323825-202","https://cesta.stanford.edu/events/past-events","","","CANCELED - CESTA Seminar | C. Brown on ""'It Don't Mean a Thing If It Ain't Got That Swing': Reframing Black...""","https://cesta.stanford.edu/events/canceled-cesta-seminar-c-brown-it-dont-mean-thing-if-it-aint-got-swing-reframing-black"
"1716323825-203","https://cesta.stanford.edu/events/past-events","","","Intro to Data Visualization with R: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/intro-data-visualization-r-digital-tools-and-methods-humanities-and-social-sciences"
"1716323825-204","https://cesta.stanford.edu/events/past-events","","","Intermediate Python: Going Beyond Basic Commands","https://cesta.stanford.edu/events/intermediate-python-going-beyond-basic-commands"
